habitaciones,baños,parqueaderos,area_construida,area_privada,estrato,precio_m2,Ascensor,Circuito cerrado de TV,Parqueadero Visitantes,Portería / Recepción,Zonas Verdes,Salón Comunal,Balcón,Barra estilo americano,Calentador,Chimenea,Citófono,Cocina Integral,Terraza,Vigilancia,Parques cercanos,Estudio,Patio,Depósito / Bodega,ubicacion,precio
2.0,2.0,2,63,63,4,507936508.0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,731,320000000.0
3.0,3.0,2,234,234,5,534188034.0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,198,1250000000.0
1.0,2.0,2,95,0,6,9000000.0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,245,855000000.0
3.0,2.0,1,95,88,4,505263158.0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,125,480000000.0
3.0,2.0,3,130,0,4,676923077.0,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,558,880000000.0
3.0,2.0,1,89,0,3,483146067.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,85,430000000.0
2.0,2.0,1,50,50,3,5100000.0,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,427,255000000.0
2.0,2.0,2,90,0,4,922222222.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597,830000000.0
3.0,3.0,2,94,94,5,776595745.0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,586,730000000.0
1.0,1.0,1,5413,0,5,683539627.0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,415,370000000.0
3.0,4.0,2,164,164,6,512195122.0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,465,840000000.0
3.0,3.0,2,100,100,4,7900000.0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,356,790000000.0
