car_model,price,year_model,kms
Kia Rio 1.4 Zenith Hb 4 p,$68.000.000,2022,31000
Kia Rio 1.4 Vibrant Mt,$72.000.000,2024,5568
Kia Rio 1.4 4 p,$32.000.000,2012,96000
Kia Rio Sedán Ub,$41.000.000,2015,88000
Kia Rio 1.25 4 p,$42.000.000,2016,98000
Kia Rio Spice B,$40.000.000,2014,118000
Kia Rio 2018 Hatch Back,$63.000.000,2018,38000
Kia Rio 1.4 Vibrant Mt,$46.500.000,2018,39000
Kia Rio 1.4 5 p,$21.300.000,2006,152000
Kia Rio Spice 1.2,$43.500.000,2015,86000
Kia Rio 1.4 4 p 109 hp,$36.000.000,2012,173000
Kia Rio 1.400 C.c,$38.500.000,2013,123110
Kia Rio 1.2 5 p,$36.500.000,2014,134000
Kia Rio 1.4 Vibrant Aut,$78.000.000,2024,3800
Kia Rio R Rio Zenith,$62.000.000,2021,42000
Kia Rio Sedán Ub Ex,$39.990.000,2015,86000
Kia Rio 1.25 5 p,$43.800.000,2016,75000
