car_model,price,year_model,kms
Chevrolet Onix 1.4 Ltz Aut,$50.000.000,2019,55000
Chevrolet Onix 1.4 Ltz 5 p,$48.000.000,2020,43000
Chevrolet Onix 1.0t Automática,$72.000.000,2021,13000
Chevrolet Onix 1.4 Ltz 5 p,$51.000.000,2019,20900
Chevrolet Onix 1.4 Ltz,$40.000.000,2016,78500
Chevrolet Onix 1.4 Ltz Aut,$45.000.000,2020,22000
Chevrolet Onix 1.4 Ltz 4 p,$37.500.000,2018,106000
Chevrolet Onix 1.4 Ltz Mecánica,$40.000.000,2017,60450
Chevrolet Onix 1.0t Mecánica,$57.000.000,2023,14300
Chevrolet Onix 1.4 Ltz Aut,$55.000.000,2020,46000
Chevrolet Onix 1.0t Mecánica,$52.000.000,2021,20000
Chevrolet Onix 1.0t Mecánica,$59.600.000,2021,39500
Chevrolet Onix 1.0t Automática,$65.000.000,2022,19230
Chevrolet Onix 1.4 Ltz 5 p,$44.900.000,2019,59000
Chevrolet Onix 1.4 Lt,$49.000.000,2020,76000
Chevrolet Onix 1.4 Ltz Aut,$43.500.000,2019,25000
Chevrolet Onix 1.4 Ltz,$51.000.000,2019,120000
Chevrolet Onix 1.4 Ltz,$52.000.000,2020,23000
Chevrolet Onix 1.0t Automática,$56.100.000,2021,37000
Chevrolet Onix 1.0t Automática,$72.000.000,2023,8950
Chevrolet Onix 1.0T Rs Mt,$68.000.000,2023,10000
Chevrolet Onix 1.0t Automática,$51.999.999,2022,2300
Chevrolet Onix 1.4 Lt,$51.000.000,2019,71300
Chevrolet Onix 1.4 Activ,$45.900.000,2018,41000
Chevrolet Onix 1.4 Ltz,$39.500.000,2016,70000
Chevrolet Onix 1.4 Ltz 5 p,$50.000.000,2020,43000
Chevrolet Onix 1.0t Mecánica,$70.000.000,2023,24000
Chevrolet Onix 1.0T Rs Mt,$62.500.000,2023,32500
Chevrolet Onix 1.0t Automática,$66.000.000,2021,25200
Chevrolet Onix 1.4 Activ,$48.000.000,2019,109000
Chevrolet Onix 1.0T Rs Mt,$70.000.000,2023,12600
Chevrolet Onix 1.0t Automática,$78.000.000,2023,1300
Chevrolet Onix 1.4 Ltz 4 p,$47.500.000,2020,43000
Chevrolet Onix 1.0t Automática,$61.990.000,2023,7505
Chevrolet Onix 1.4 Ltz Automática,$42.000.000,2017,96000
Chevrolet Onix 1.4 Ltz 5 p,$48.000.000,2019,40969
Chevrolet Onix 1.0t Automática,$60.000.000,2021,49000
Chevrolet Onix 1.0T Rs Mt,$73.500.000,2023,12600
Chevrolet Onix 1.4 Lt,$52.000.000,2020,38000
Chevrolet Onix 1.4 Ltz 5 p,$48.000.000,2019,38000
Chevrolet Onix 1.0t Automática,$69.000.000,2023,26500
Chevrolet Onix 1.0t Automática,$57.000.000,2022,17000
Chevrolet Onix 1.0t Automática,$59.900.000,2021,38763
Chevrolet Onix 1.4 Ltz 5 p,$47.000.000,2020,23000
Chevrolet Onix 1.4 Ltz Mecánica,$35.000.000,2017,144000
Chevrolet Onix 1.0t Automática,$58.000.000,2022,20600
Chevrolet Onix 1.0T Rs Mt,$69.500.000,2023,26800
Chevrolet Onix Turbo Rs Rs 1000turbo,$70.500.000,2023,8400
Chevrolet Onix 1.4 Ltz Aut,$42.800.000,2019,54000
Chevrolet Onix 1.0t Automática,$45.500.000,2021,97000
Chevrolet Onix 1.4 Ltz 5 p,$51.500.000,2019,33548
Chevrolet Onix 1.0T Rs Mt,$80.000.000,2024,4800
Chevrolet Onix 1.4 Ltz 4 p,$41.000.000,2018,58343
Chevrolet Onix 1.4 Ltz 5 p,$47.500.000,2020,46000
Chevrolet Onix Rs,$59.900.000,2022,17600
Chevrolet Onix 1.0t Automática,$60.900.000,2022,34044
Chevrolet Onix 1.0t Automática,$69.000.000,2023,6100
Chevrolet Onix 1.0T Rs Mt,$72.900.000,2023,3300
Chevrolet Onix 1.4 Lt,$55.000.000,2020,4500
Chevrolet Onix 1.4 Ltz Automática,$42.000.000,2017,79000
Chevrolet Onix 1.4 Ltz Aut,$40.500.000,2018,119000
Chevrolet Onix 1.4 Ltz Automática,$38.500.000,2017,94000
